Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
2128;Rodenburgstraat thv, 2-18;Markt;Dynamic;5,7;0
1589;De Goeijenlaan 58;Angerenstein;Scheduled;42;0
248;Nijenbeeklaan t,h,v, 17;Over het Lange Water;Dynamic;2,6;0
877;Tilburgweg t,h,v, 66 zijkant;De Laar West;Dynamic;3,2;0
634;Madelievenstraat 2;Malburgen West;Dynamic;3;0
664;Klaverlaan 4 - 130;Malburgen West;Dynamic;5,3;0
933;Haya van Someren Downerstraat 3-111 overzijde;Rijkerswoerd Midden;Dynamic;7,8;0
424;Beatrixstraat t/h No, 48;Angerenstein;Dynamic;8,4;0
1122;Dennenweg t,h,v, 101;Arnhemse Allee;Dynamic;4,9;0
496;Geitenkamp t/h No, 1-3;Geitenkamp;Dynamic;2,6;0
1703;Appingedamstraat thv, 6 overzijde;Vredenburg;Dynamic;8,3;0
1756;Mr, P,J, Oudsingel 33;Rijkerswoerd Midden;Dynamic;3,8;0
274;Doorwerthlaan / Verwoldelaan;Over het Lange Water;Dynamic;3,1;0
92;Johan de Wittlaan 277 - 283;Statenkwartier;Dynamic;4,5;0
1804;Mooieweg 25A;Rijkerswoerd Oost;Dynamic;9,4;0
130;Vrij Nederlandstraat 2 overzijde;Presikhaaf I;Dynamic;5,8;0
644;Andoornstraat 2;Malburgen West;Dynamic;6,9;0
145;Waalstraat 2;Presikhaaf I;Dynamic;4;0
1975;Zuilesteinlaan 26;Elsweide;Dynamic;7,1;0
352;Solostraat 19 - 27;Klarendal Zuid;Dynamic;5,6;0
1439;Meliskerkestraat 43 overzijde;De Laar Oost;Dynamic;3,3;0
579;Josef Israëllaan  56;Hoogkamp;Dynamic;5,3;0
555;G,A,van Nispenstraat 100;Burgemeesterswijk;Dynamic;8,9;0
2156;Willemsplein 34;Rijnstraat;Scheduled;3,5;0
612;Frombergdwarsstraat 37;Brouwerijweg e,o,;Dynamic;4,6;0
587;Alexanderstraat / Oranjestraat;Lombok;Dynamic;6,6;0
762;Brandenburgseplein 241-455;Immerloo II;Dynamic;3,7;0
913;Bredasingel 74 - 76;De Laar West;Dynamic;6,2;0
924;Bakheidehof 1 zijkant;De Laar Oost;Dynamic;4,5;0
1451;Altweertstraat t,h,v, 56;De Laar Oost;Dynamic;6,2;0
1347;Zenegroen 28;Malburgen West;Dynamic;8,8;0
1668;Broekstraat 201;Arnhemse Broek;Dynamic;4,9;0
1663;Regiment Pioniers 28;Klarenbeek;Dynamic;17,2;0
116;Johan de Wittlaan 304;Arnhemse Broek;Dynamic;6,2;0
1130;Het wagenwiel 1;Schuytgraaf-Noord;Dynamic;5,6;0
384;Lindenheuvel 21;Onder de Linden;Dynamic;11,8;0
1610;Debussystraat thv 7;Alteveer/Cranevelt;Dynamic;11,8;0
888;Lieshoutstraat/ Tilburgweg;De Laar West;Scheduled;4;0
2438;Sontatestraat;Elden;Dynamic;12,9;0
393;Rosendaalsestraat 337;St, Janskerkstraat e,o,;Dynamic;6,3;0
921;Aagtekerkesingel 22;De Laar Oost;Dynamic;6,7;0
1422;Domburgpad thv 30;De Laar Oost;Dynamic;6,7;0
1309;Bergstraat t,h,v, 35;Stationsplein;Dynamic;5,3;0
1109;Dr, Schaepmanstraat 52;Geitenkamp;Dynamic;5,4;0
1795;W,F, Hermansstraat 2;Rijkerswoerd Oost;Dynamic;5;0
1472;Landsgraafstraat 73;De Laar Oost;Dynamic;7,4;0
1157;Zwaluwstraat 30 schuin ad overzijde;Onder de Linden;Dynamic;9,8;0
827;Groningensingel 653 - 753(flat Sandenburg);Vredenburg;Dynamic;5,3;0
2045;Pontanuslaan 84 zijkant;Sonsbeek Noord;Dynamic;8,6;0
985;Fruittelerserf 9;Schuytgraaf-Zuid;Dynamic;3,4;0
1151;Laan van de 17e September 2;Schuytgraaf-Noord;Dynamic;9,3;0
2569;Oosterscheldekering;Schuytgraaf-Noord;Scheduled;6,7;14
1465;Limburgsingel 25 (garagebox);De Laar Oost;Dynamic;6,1;0
915;Helmondstraat t,h,v, 1 zijkant;De Laar West;Dynamic;3,3;0
1856;Schepen Ringenberghstraat 23 zijkant;Kronenburg;Dynamic;4,7;0
759;Brandenburgseplein 1 - 474;Immerloo II;Dynamic;5,8;0
2450*;Levanter;Schytgraaf-Zuid;Dynamic;5,1;0
544;Izaäk Evertslaan  72;Burgemeesterswijk;Dynamic;6,7;0
186;Karel Doormanstraat 45;Presikhaaf III;Dynamic;4,6;0
172;Van Borselenstraat 114 - 168;Presikhaaf III;Dynamic;5,3;0
604;Veluwestraat 4 - 6;Brouwerijweg e,o,;Dynamic;4,3;0
2160;Ariën Verhoeffstraat naast Provinciehuis;Markt;Scheduled;3,2;0
1430;Melickstraat 14;De Laar Oost;Dynamic;3,4;0
737;Hortensiastraat  3-31;Middelgraaflaan e,o,;Dynamic;8;0
1937(*);Watermunstraat;;Dynamic;4,1;0
2129;Rodenburgstraat thv, 2-18;Markt;Dynamic;4,3;0
1630;Plataanstraat 60;Arnhemse Allee;Dynamic;17;0
805;Schepen van Voorsthof;Kronenburg;Dynamic;4;0
2356;Velperweg 49;Velperweg Noord;Dynamic;4,8;0
1126;Koningskers t,h,v,27;Schuytgraaf-Noord;Dynamic;5,6;0
307;van Hasseltstraat thv nr 60;St, Marten;Dynamic;10,4;0
1103;Raapopseweg 1a zijkant;Velperweg Noord;Dynamic;7,1;0
931;Emily Brontesingel 107 / Bastion;Rijkerswoerd Oost;Dynamic;8,2;0
834;Groningensingel 233 - 435(flat Ravestein/Rhynestein);Vredenburg;Dynamic;7,9;0
1584;Paasberglaan 11;Paasberg;Dynamic;11,4;0
1461;Limburgsingel 80;De Laar Oost;Dynamic;5,7;0
204;Bontekoestraat 9;Presikhaaf III;Dynamic;4,7;0
436;de Goeijenlaan 5;Paasberg;Dynamic;15,3;0
2184;Parnassusstraat bij parkeerplaats;Schuytgraaf-Noord;Dynamic;6,8;0
1198;Kalmoesstraat 51 zijkant;Immerloo I;Dynamic;7;0
2164;Kerkstraat/Pastoorstraat;Weverstraat;Scheduled;2,7;0
168;Doeffstraat 2 - 48;Presikhaaf III;Dynamic;5,3;0
1785;Emily Brontesingel 52;Rijkerswoerd Oost;Dynamic;7,2;0
1603;Cattepoelseweg 280;Alteveer/Cranevelt;Dynamic;10,2;0
2559;Sonsbeeksingel;Klarendal-Zuid;Scheduled;0;1
1752;Dr, Joop den Uylsingel 109;Rijkerswoerd West;Dynamic;5,5;0
909;Oosterhoutstraat t,h,v, 1;De Laar West;Dynamic;5,4;0
1307;Bergstraat 27;Stationsplein;Scheduled;2,8;0
1185;Van Berkumstraat 48;Zeegsingel e,o,;Dynamic;3,5;0
1741;Pythagoras thv 40 zijkant(Socratesstraat);Rijkerswoerd West;Dynamic;10,2;0
9018;Sonsbeek park uitgang;Transvaalbuurt;None;0;1
2466(*);Westervoortsedijk;Nieuwe Kadekwartier;Scheduled;4;0
2138;Jansbuitensingel 24;Janssingel;Scheduled;0;0
649;Zonnebloemstraat 2;Malburgen West;Dynamic;13,7;0
782;Eimerssingel West 21-77;Eimersweide;Dynamic;4,6;0
1696;Onstweddestraat t,h,v, 13 overzijde;Vredenburg;Dynamic;3;0
1749;Da Vincistraat t,h,v, 1;Rijkerswoerd West;Dynamic;7,5;0
49;Spijkerstraat 287;Spijkerbuurt;Dynamic;2,6;0
637;Zonnedauwweg naast nr 61;Malburgen West;Dynamic;6,7;0
710;Abe Lenstrahof 2 - 130;Bakenhof;Dynamic;2;0
1187;St, Laurentiuslaan 47;Zeegsingel e,o,;Dynamic;7,2;0
1424;Zierikzeestraat thv 65;De Laar Oost;Dynamic;5,5;0
1449;Limburgsingel 125 overzijde;De Laar Oost;Dynamic;5,6;0
234;Cannenburglaan 17;Over het Lange Water;Dynamic;2,7;0
641;Lupinestraat 11;Malburgen West;Scheduled;6,4;0
400;Dr J,C, Hartogslaan 19;Velperweg Noord;Dynamic;15,2;0
1537;Van Ostadestraat 1;Gulden Bodem;Dynamic;13,4;0
605;Noordelijke Parallelweg 28;Brouwerijweg e,o,;Dynamic;7,3;0
847;Lexmondplaats 24;Elderveld Zuid;Dynamic;8,6;0
1155;Laan van de Gealieerden 10;Schuytgraaf-Noord;Dynamic;8,5;0
1134;De Dissel t,h,v, 152;Schuytgraaf-Noord;Dynamic;10,7;0
1629;Lindestraat thv 1 zijkant;Arnhemse Allee;Dynamic;9,2;0
126;Van Oldebarneveldstraat 86;Van Verschuerbuurt;Dynamic;5,4;0
2245;Eimerseiland 37-95;Eimersweide;Dynamic;13,4;0
1289;Pontanuslaan 20;Sonsbeek Noord;Dynamic;17,4;0
1783;Mr, P,S, Gerbrandysingel 81;Rijkerswoerd Oost;Dynamic;11,6;0
317;Graaf Ottoplein 8;Graaf Ottoplein e,o,;Dynamic;3,6;0
1912;Alexanderstraat 143;Lombok;Dynamic;5,5;0
1708;Wolvegastraat 15;Holthuizen;Dynamic;15,6;0
1532;Colenbranderstraat 17;Sterrenberg;Dynamic;19,8;0
2161;Ariën Verhoeffstraat naast Provinciehuis;Markt;Scheduled;5;0
584;Alexanderstraat 58;Lombok;Dynamic;6,1;0
704;Kruidenplein 34;Kamillehof;Dynamic;7,3;0
840;Kromwijkplaats 6a - 160;Elderveld Zuid;Dynamic;4,5;0
889;Sint Oederodestraat / Vughtstraat;De Laar West;Dynamic;3,8;0
1818;De Pas 15 zijkant;Rijkerswoerd West;Dynamic;10,6;0
1188;Akkerwindstraat 14 overzijde;Middelgraaflaan e,o,;Dynamic;3,6;0
714;Kea Boumanstraat 92 - 136;Bakenhof;Dynamic;6,6;0
1129;Graanhoeve 30 zijkant,;Schuytgraaf-Noord;Dynamic;6,1;0
194;Keulse Slag 84;Presikhaaf III;Dynamic;5,1;0
1992;Laan van Presikhaaf 280;Presikhaaf II;Dynamic;3,9;0
655;Pastinaakstraat  2 - 24;Malburgen West;Dynamic;5,5;0
2122;Broerenstraat tegenover ingang parkeergarage;Markt;Scheduled;6,6;0
1239;Tolgaardewaard 33 zijkant;Schuytgraaf-Zuid;Dynamic;4,5;0
2011;Arcadiastraat 24;Schuytgraaf-Centrum;Dynamic;4,9;0
214;Kinderkamp / Middachtensingel;Over het Lange Water;Dynamic;10;0
763;Brandenburgseplein 241-455;Immerloo II;Dynamic;7,8;0
1496;Bremstraat 71;Heijenoord;Dynamic;10,5;0
13;Ir, J,P, van Muijlwijkstraat 48;Hommelstraat;Dynamic;14,1;0
308;van Hasseltstraat thv nr 60;St, Marten;Dynamic;4,4;0
37;Driekoningendwarsstraat 2a;Spijkerbuurt;Dynamic;3,1;0
236;Wijenburglaan t,h,v, 20 zijkant;Over het Lange Water;Dynamic;6,9;0
83;Johan de Wittlaan 69;Statenkwartier;Dynamic;5,2;0
953;John Lennonstraat 3;Rijkerswoerd West;Dynamic;4,1;0
506;Franciscanenstraat t/h No, 4-6;Monnikenhuizen;Dynamic;45,7;0
86;Thorbeckestraat t,o, 34;Statenkwartier;Dynamic;8,5;0
785;Schepen van Hemertstraat t,h,v, 4;Kronenburg;Dynamic;4;0
1522;Jacob Marislaan thv 1;Sterrenberg;Dynamic;16,8;0
2106;Saksen Coburg 4;Klarenbeek;Dynamic;6,2;0
503;Monnikensteeg thv, 200/258;Monnikenhuizen;Dynamic;7,6;0
1707;Eernewoudeweg 34;Holthuizen;Dynamic;29,6;0
215;Lage Waard 38;Over het Lange Water;Dynamic;6,4;0
1154;Laan van Vrede  8;Schuytgraaf-Noord;Dynamic;5;0
1450;Limburgsingel 91 overzijde;De Laar Oost;Dynamic;5,4;0
1264;Polluxstraat 130;Schuytgraaf-Centrum;Dynamic;3,9;0
1059;Spijkerstraat 335;Spijkerbuurt;Dynamic;9,3;0
1764;Achter de Coulissen t,h,v, 1 achterzijde;Rijkerswoerd Midden;Dynamic;5,2;0
228;Kleine Durk 38;Over het Lange Water;Dynamic;5,3;0
856;De Burcht 16-50;Elderveld Noord;Dynamic;6,7;0
648;Dovenetellaan 24;Malburgen West;Dynamic;10,5;0
1571;Bronbeeklaan 5;Paasberg;Dynamic;10,2;0
1390;Hilversumstraat thv 98 zijkant;Elderveld Noord;Dynamic;8,8;0
57;Eusebiusbuitensingel 32;Boulevardwijk;Dynamic;2,9;0
1446;Venlosingel 185;De Laar Oost;Dynamic;5,7;0
270;Wildenborglaan t/h No, 30-36;Over het Lange Water;Dynamic;3,5;0
9019;Wassenaarweg;Elderveld Zuid;Scheduled;0;0
290;Hisveltplein 2 - 162;Winkelcentrum;Dynamic;7,2;0
507;Dominicanenweg 83;Monnikenhuizen;Dynamic;18,8;0
1464;Aasterbergstraat 9;De Laar Oost;Dynamic;6,3;0
232;Loevesteinlaan 32a;Over het Lange Water;Dynamic;3,6;0
213;Kermisland 22-108  achterkant;Over het Lange Water;Dynamic;8,8;0
611;Rozenstraat t/h No, 47-49;Brouwerijweg e,o,;Dynamic;6,5;0
90;Johan de Wittlaan t/h No, 211-215;Statenkwartier;Dynamic;3,5;0
106;Johan de Wittlaan 164-166;Arnhemse Broek;Dynamic;5;0
444;Velperweg t,h,v, 170;Paasberg;Dynamic;8,4;0
1405;Hagemanswei 101 zijkant;Elderhof;Dynamic;12,4;0
982;Frankenveld 5;Schuytgraaf-Zuid;Dynamic;3,2;0
2026;Lokaalspoor 2;Schuytgraaf-Noord;Dynamic;5,9;0
1775;Meester J,M, de Kempenaersingel 41 overzijde;Rijkerswoerd Midden;Dynamic;5,4;0
1815;De Pas 44A;Rijkerswoerd West;Dynamic;11,5;0
1420;Zierikzeestraat 1;De Laar Oost;Dynamic;3,7;0
1337;Paardebloemstraat naast nr, 72;Malburgen West;Dynamic;8,1;0
240;Middachtensingel t/h No, 100-178;Over het Lange Water;Dynamic;10,2;0
472;Beethovelaan 42 / Malerstraat;Alteveer/Cranevelt;Dynamic;22,2;0
1745;Marcusestraat 21;Rijkerswoerd West;Dynamic;5,3;0
1293;Heselbercherweg t,h,v, 4;Sonsbeek Noord;Dynamic;14,2;0
12;Hommelstraat 50;Hommelstraat;Dynamic;3,6;0
1632;Populierstraat  40;Arnhemse Allee;Dynamic;7,3;0
1228;Hofsingel 58;'t Duifje;Dynamic;7,2;0
447;Lovinklaan t/h No, 49-75;Sonsbeek Noord;Dynamic;13;0
1146;Lokaalspoor 19;Schuytgraaf-Noord;Dynamic;9;0
42;Driekoningenstraat 10 2;Spijkerbuurt;Dynamic;2,1;0
382;J,P, Heijestraat 53 -  55;Onder de Linden;Dynamic;217,4;0
301;De Wiltstraat t/h No, 15-17;St, Marten;Dynamic;6,1;0
1392;Alkmaarsingel thv 336;Elderhof;Dynamic;6,2;0
409;Molenbeekstraat / Sasboutstraat No, 18;Molenbeke;Dynamic;6,4;0
20;Noord en Zuidstraat 37;Hommelstraat;Dynamic;3,9;0
1408;Hagemanswei t,h,v, 73 zijkant;Elderhof;Dynamic;14;0
656;Dovenetellaan 10-12;Malburgen West;Dynamic;9,4;0
327;Staringplein 2;Klarendal Noord;Dynamic;5,7;0
1101;Römerselaan t,o, 38;Velperweg Noord;Dynamic;10,2;0
918;Randweg 1-49;De Laar Oost;Dynamic;5,4;0
1690;Oudeschanspad thv 1 zijkant;Vredenburg;Dynamic;4,8;0
1774;Mr, J,M, de Kempenaersingel 28A;Rijkerswoerd Midden;Dynamic;3,6;0
1123;Kloosterstraat t,h,v, 5;Geitenkamp;Dynamic;14,8;0
9015(*);Dr. C. Lelyweg;Arnhems Broek;Scheduled;0;0
1582;Jac, Van Looystraat thv 58;Paasberg;Dynamic;15,6;0
410;Tivolilaan;Terrein ENKA;Dynamic;8,9;0
326;Naëll Tynnegieterstraat 62 - 64;Graaf Ottoplein e,o,;Dynamic;8,7;0
1687;Slochterenweg thv 1;Vredenburg;Dynamic;8,6;0
1317;Onderlangs 111;Utrechtsestraat;Scheduled;0;0
1803;Wessel Couzijnhof 67;Rijkerswoerd Oost;Scheduled;10,1;0
755;Gelderseplein 241-455;Immerloo II;Dynamic;9,9;0
1476;Oranjestraat 2;Lombok;Dynamic;6,5;0
1730;Mooieweg 13c zijkant;Rijkerswoerd West;Dynamic;7,2;0
114;Johan de Wittlaan 272-274;Arnhemse Broek;Dynamic;6,9;0
1829;Hennepstraat 65 zijkant;Elden;Dynamic;7,7;0
46;Hertogstraat;Spijkerbuurt;Scheduled;2,5;7
902;Bredasingel 13;De Laar West;Dynamic;5,4;0
2179;Ringdijk 25;Schuytgraaf-Noord;Dynamic;4,6;0
1174;Stadswaardenlaan t,h,v, 24-26;Bakenhof;Dynamic;5,1;0
1658;Beukenlaan 34;Monnikenhuizen;Dynamic;6,5;0
971;Kustvaart t/h No, 163;Schuytgraaf-Noord;Dynamic;11,8;0
35;Spijkerstraat 185(de Lommerd);Spijkerbuurt;Dynamic;3,4;0
335;Klarendalseweg 495;Klarendal Zuid;Dynamic;3,3;0
509;Dominicanenweg 55;Monnikenhuizen;Dynamic;14,5;0
450;Dalweg t/h No, 26 middenberm;Sonsbeek Noord;Dynamic;19,5;0
2063;Prümelaan 3;Angerenstein;Dynamic;8,8;0
1150;Staatsspoor 1 zijkant;Schuytgraaf-Noord;Dynamic;8,5;0
908;Cuijkstraat 1;De Laar West;Dynamic;3,6;0
752;Gelderse Plein 1 - 239;Immerloo II;Dynamic;3,5;0
618;Hulkesteinseweg  2;Klingelbeek;Dynamic;5;0
166;Roompotstraat t/h No, 220;Presikhaaf II;Dynamic;4,9;0
616;Noordelijke Parallelweg 71;Heijenoord;Dynamic;9,3;0
1711;Franekerstraat naast 2;Holthuizen;Dynamic;10,3;0
1093;Talmaplein 25;Onder de Linden;Dynamic;6;0
131;Scheldestraat 2;Presikhaaf I;Dynamic;9,6;0
2448(*);Opusstraat (naast Rijksweg West);Elden;Dynamic;9,4;0
1035;Nijhoffstraat t/o 189;St, Marten;Scheduled;0;0
958;Sterappelgaard (plein);De Overmaat;Dynamic;5,3;0
150;Laan van Presikhaaf/ Zoomstraat;Presikhaaf I;Dynamic;29,9;0
340;Catharijnestraat 143 overzijde;Klarendal Zuid;Scheduled;5,5;0
1321;Hazelaarstraat 1 naast;Malburgen West;Dynamic;5;0
324;Sloetstraat 2;Graaf Ottoplein e,o,;Dynamic;3,6;0
564;Gabrielstraat 38 overzijde;Sterrenberg;Dynamic;5;0
103;Stadhoudersstraat 1;Arnhemse Broek;Dynamic;8,1;0
853;Kedichempad 2;Elderveld Zuid;Dynamic;11,6;0
344;Willemsstraat 45 / Rappartstraat;Klarendal Zuid;Dynamic;4;0
1580;Jacques Perkstraat 24 zijkant(Jac, van Looystraat);Paasberg;Dynamic;8,8;0
1246;Rentemeesterwaard 140;Schuytgraaf-Zuid;Dynamic;11,7;0
694;Korianderstraat 2;Kamillehof;Dynamic;3,2;0
1003;Floritzstraat 2;Presikhaaf III;Dynamic;4,4;0
1606;Catherina van Rennesstraat 20;Alteveer/Cranevelt;Dynamic;9,3;0
1487;Klingelbeekseweg 60;Klingelbeek;Dynamic;9;0
1374;Alblasserdamstraat 10 zijkant;Elderveld Zuid;Dynamic;8,7;0
1664;Regiment Pontonniers 43;Klarenbeek;Dynamic;56,8;0
1814;Hendrik Pieter Marchantstraat 42;Rijkerswoerd West;Dynamic;12,4;0
773;Orionsingel 110-258 (Flat 3);Eimersweide;Dynamic;6,7;0
1894;Charley Bosveldhof 37;Bakenhof;Dynamic;9,6;0
1974;Zorgvlietstraat 1;Elsweide;Dynamic;11,1;0
1510;Breitnerstraat 96 overzijde;Hoogkamp;Dynamic;13,9;0
380;Spijkerlaan 43;Spijkerbuurt;Dynamic;2,2;0
1965;Zuilesteinlaan 34;Elsweide;Dynamic;3,9;0
65;Kastanjelaan 33;Boulevardwijk;Dynamic;7,1;0
205;Keulse Slag 140;Presikhaaf III;Dynamic;2,9;0
201;Bonte Koestraat 1;Presikhaaf III;Dynamic;5,4;0
2116;Beekstraat 40;Markt;Dynamic;4,9;0
329;Hommelseweg 205/207;Graaf Ottoplein e,o,;Dynamic;5,3;0
1959;Gildemeesterplein 2-294;Winkelcentrum;Dynamic;3,6;0
1251;Het Hout 70 overzijde,;Schuytgraaf-Zuid;Dynamic;8,2;0
1172;Fanny Blankers-Koenstraat 47;Bakenhof;Dynamic;7,8;0
87;Thorbeckestraat t,o, 34;Statenkwartier;Dynamic;9,9;0
185;Van der Goesstraat 15 overzijde;Presikhaaf III;Dynamic;6,4;0
366;Noord-peterstraat 64;Klarendal Noord;Dynamic;8;0
1607;Willem Pijperstraat  21;Alteveer/Cranevelt;Dynamic;12,7;0
2472(*);Ir. van Muijlwijkstraat;Hommelstraat;Dynamic;5,7;0
269;Kamphuizerlaan t/h No, 75-89;Over het Lange Water;Dynamic;6,4;0
1080;Vijverlaan 97;Onder de Linden;Dynamic;10,5;0
142;Roompotstraat 202/164;Presikhaaf II;Scheduled;6,6;0
394;Leeuwensteinplein 6;St, Janskerkstraat e,o,;Dynamic;9,1;0
2170;Vossenstraat thv, 111;Weverstraat;Dynamic;6,7;0
1139;De Maaidorser 101;Schuytgraaf-Noord;Dynamic;14,3;0
325;Leoninusstraat 62 - 64;Graaf Ottoplein e,o,;Dynamic;4,8;0
345;Rosendaalsestaat 53 overzijde;Klarendal Zuid;Dynamic;4,5;0
779;Orionsingel 260-312 (Flat 2);Eimersweide;Dynamic;3,8;0
521;Dr, Nolenslaan t/h No, 11-13;Monnikenhuizen;Dynamic;9,2;0
589;Oranjestraat 90;Lombok;Dynamic;6,9;0
814;Kronenburgsingel t/o No, 67;Kronenburg;Dynamic;6;0
2015;Byblisstraat 44;Schuytgraaf-Centrum;Dynamic;3,7;0
1397;Purmerendstraat t,h,v, 70;Elderhof;Dynamic;8,8;0
339;Catharijnestraat 143;Klarendal Zuid;Scheduled;6,3;0
659;Bolderikstraat 12;Malburgen West;Dynamic;6,2;0
375;Klarendalseweg / Stalstraat;Klarendal Noord;Dynamic;6,5;0
1128;Meikers thv 52;Schuytgraaf-Noord;Dynamic;8,4;0
1161;Sonsbeeksingel 144;Klarendal Zuid;Scheduled;0;0
88;Heinsiushof Parkeerplaats;Statenkwartier;Dynamic;5,1;0
1515;Mesdaglaan 8;Hoogkamp;Dynamic;5,6;0
2031(*);Pallas Atheneplein;Schuytgraaf-Centrum;Dynamic;3,6;0
9043;Stadsblokkenweg;Meinerswijk / De Praets;Scheduled;0;0
547;Burgemeester Weertsstraat 91;Burgemeesterswijk;Dynamic;3,2;0
1140;Zeevaart tegenover 269;Schuytgraaf-Noord;Dynamic;4,8;0
78;Statenlaan t/h No, 3-5;Statenkwartier;Dynamic;5,1;0
854;Kinderdijkpad thv 2 - 12;Elderveld Zuid;Dynamic;9,2;0
808;Kronenburgsingel t/o 243-307;Kronenburg;Dynamic;7,1;0
878;Wanroijhof t,h,v, 81;De Laar West;Dynamic;4,2;0
1798;Simon Vestdijksingel naast nr, 62;Rijkerswoerd Oost;Dynamic;5,1;0
2473(*);Zilver thv 117;Schuytgraaf Centrum;Dynamic;4,6;14
560;Sweerts de Landasstraat t/h No, 85;Burgemeesterswijk;Dynamic;3,2;2
1700;Ezingestraat thv 26 zijkant;Vredenburg;Dynamic;3,9;0
1336;Dovenetellaan 48;Malburgen West;Dynamic;6;0
1599;Bachlaan 44 overzijde;Alteveer/Cranevelt;Dynamic;8,5;0
986;Fruittelerserf  43/ Kersenplukkerserf;Schuytgraaf-Zuid;Dynamic;4,6;0
1569;Roemer Visscherstraat 14;Paasberg;Dynamic;21,5;0
470;Oremusplein 1 - 55;Alteveer/Cranevelt;Dynamic;8,7;0
1352;Leerdamstraat t,h,v, 10;Elderveld Zuid;Dynamic;6,9;0
526;Fluweelboomstraat 16A;Arnhemse Allee;Dynamic;14;0
1406;Purmerendstraat 2;Elderhof;Dynamic;9,3;0
1669;Heemskerckstraat 59;Arnhemse Broek;Dynamic;6,9;0
369;Agnietenstraat 185 overzijde;Klarendal Noord;Dynamic;6,1;0
534;Monnikensteeg 1/24 - 1/47;Klarenbeek;Dynamic;14;0
1706;Smallingerlandweg 1;Holthuizen;Dynamic;8,3;0
1431;Venlosingel thv, 60;De Laar Oost;Dynamic;5,9;0
2429;Juventastraat;Schuytgraaf-Centrum;Dynamic;2,9;0
1416;Medemblikhof 38;Elderhof;Dynamic;18,6;0
828;Groningensingel 653 - 753(flat Sandenburg);Vredenburg;Dynamic;4,7;0
1559;Huijghenslaan 48;Angerenstein;Dynamic;11,2;0
741;Huissensestraat 62 voor Apotheek Zorgcentrum;Middelgraaflaan e,o,;Dynamic;3,9;0
196;Lacombléstraat 1 - 35;Presikhaaf III;Dynamic;4,6;0
1925;Agnietenstraat 185 overzijde;Klarendal Noord;Dynamic;5,4;0
1784;Jules Vernehof naast 1;Rijkerswoerd Oost;Dynamic;4,4;0
466;Oude Kluizenweg;Alteveer/Cranevelt;Dynamic;7,3;0
2075;Beertastraat to, 17;Vredenburg;Dynamic;5,5;0
511;Dominicanenweg t/h No, 15-27;Monnikenhuizen;Dynamic;18,6;0
1627;Rosendaalseweg  thv, 831;Arnhemse Allee;Dynamic;13,4;0
1728;Kopstuk thv 17;Rijkerswoerd West;Dynamic;7,9;0
500;Rosendaalseweg t,h,v, 717;Geitenkamp;Dynamic;12,6;0
1800;Ida Gerhardtstraat 42 overzijde;Rijkerswoerd Oost;Dynamic;4,7;0
1602;Bachlaan t,h,v, 19;Alteveer/Cranevelt;Dynamic;11,5;0
383;J,P, Heijestraat 53 -  55;Onder de Linden;Dynamic;200;0
2037;Polluxstraat to 242;Schuytgraaf-Centrum;Dynamic;5,9;0
2127;Utrechtsestraat / Stationsplein-west;Utrechtsestraat;Scheduled;0;0
1792;Albert van Dalsumlaan 47 overzijde;Rijkerswoerd Oost;Dynamic;6,8;0
1453;Voerendaalstraat 2 zijkant(Limburgsingel);De Laar Oost;Dynamic;6,5;0
2094;Kroonpark 10;Kronenburg;Dynamic;6,3;0
600;Utrechtseweg t/h No, 170;Lombok;Dynamic;6,8;0
1117;Beukenlaan naast 78;Klarenbeek;Dynamic;6,4;0
703;Venkelstraat 29;Kamillehof;Dynamic;3,8;0
ABSN001(*);Beijerinckweg;Arnhemse Broek;Scheduled;0;0
19;Noord en Zuidstraat 37;Hommelstraat;Dynamic;8,1;0
1744;Pythagorasstraat t,h,v, 10 overzijde;Rijkerswoerd West;Dynamic;11,9;0
767;Kleefseplein 1 - 239;Immerloo II;Dynamic;6,3;0
189;Van der Goesstraat 100-130;Presikhaaf III;Dynamic;3,9;0
1541;Nicolaas Maesstraat 7 overzijde;Gulden Bodem;Dynamic;11,7;0
2111;Sweelincklaan thv, 99;Alteveer/Cranevelt;Scheduled;10,1;0
438;Kloosterstraat, 87-133;Paasberg;Dynamic;28,2;0
1661;Garde Grenadiers thv 1;Klarenbeek;Dynamic;26,4;0
1403;Koewei 1 tegenover;Elderhof;Dynamic;6;0
904;Boxmeerhof t,h,v, 2-20;De Laar West;Dynamic;17,3;0
1821;Hennepstraat 34 zijkant;Elden;Dynamic;7;0
316;Jacob Cremerstraat 53 zijkant;Graaf Ottoplein e,o,;Dynamic;7,5;0
1692;Ruigezantplantsoen 10;Vredenburg;Dynamic;6,7;0
136;Lekstraat t,h,v, 39;Presikhaaf I;Dynamic;7;0
775;Orionsingel thv 54 flat 4;Eimersweide;Dynamic;3,8;0
1171;Willy den Oudenstraat 46;Bakenhof;Dynamic;12,3;0
169;Doeffstraat 50 - 96;Presikhaaf III;Dynamic;5,2;0
1386;Haarlemweg 49 overzijde;Elderveld Noord;Dynamic;3;0
1498;Hertshoornstraat 32;Heijenoord;Dynamic;13,3;0
981;Angelsaksenveld 8;Schuytgraaf-Zuid;Dynamic;8,4;0
1767;Mr, P,J, Oudsingel 103;Rijkerswoerd Midden;Dynamic;7,5;0
