Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
1432;Valkenburgstraat 121;De Laar Oost;Dynamic;5,2;0
152;Geleenstraat 9;Presikhaaf I;Dynamic;3,6;0
71;Boulevard Heuvelinkstraat 129a (overzijde in groenperk);Boulevardwijk;Dynamic;2,6;0
514;Dr, Schaepmanlaan 38/Ds, Bechtlaan 14 achterzijde;Monnikenhuizen;Dynamic;4,8;0
1934;Veerpolderstraat 128a;Groene Weide;Dynamic;4,9;0
524;Pastoor vd Loolaan t/h No, 11-13;Monnikenhuizen;Dynamic;7,2;0
1094;Wormerslaan 12 zijkant;Onder de Linden;Dynamic;6,7;0
1168;Stadswaardenlaan 72;Bakenhof;Dynamic;8,3;0
283;Cloekplein 2 - 142;Winkelcentrum;Dynamic;7;0
1355;Goudaweg 32;Elderveld Zuid;Dynamic;3,8;0
102;Johan de Wittlaan 429;Statenkwartier;Dynamic;3,1;0
368;Verlengde Paulstraat 2 zijkant;Klarendal Noord;Dynamic;6,7;0
61;Boulevard Heuvelink 9;Boulevardwijk;Dynamic;4,2;0
835;Groningensingel 233 - 435(flat Ravestein/Rhynestein);Vredenburg;Dynamic;5,3;0
2457(*);Bliksemschicht;Schuytgraaf-Zuid;Dynamic;4,2;0
66;Boulevard Heuvelink 101;Boulevardwijk;Dynamic;4,1;0
1852;Schepen van Monetariusstraat 13;Kronenburg;Dynamic;9,6;0
143;Zoomstraat 2 - 172;Presikhaaf I;Dynamic;7,9;0
347;Johannastraat  111 overzijde;Klarendal Zuid;Dynamic;4;0
1351;Dordrechtweg 40;Elderveld Zuid;Dynamic;4;0
747;Lisdoddelaan/Papaverstraat;Middelgraaflaan e,o,;Dynamic;9,3;0
2057;Laan van Angerenstein thv nr 2;Angerenstein;Dynamic;12,2;0
113;Johan de Wittlaan 272-274;Arnhemse Broek;Dynamic;6,9;0
1294;Heselbergherweg t,h,v, 68;Sonsbeek Noord;Dynamic;22,3;0
872;Pettenstraat 79-103;Elderveld Noord;Dynamic;6,4;0
2025;Koperslagersveste 27;Schuytgraaf-Zuid;Dynamic;7,1;0
930;Emily Brontesingel 107 / Bastion;Rijkerswoerd Oost;Dynamic;7;0
556;Noordelijke Parallelweg 3 thv Ruijvenpad,;Burgemeesterswijk;Dynamic;12;0
1794;Multatulihof naast 1;Rijkerswoerd Oost;Dynamic;4;0
415;Wichard v Pontlaan t/h No, 203;Plattenburg;Dynamic;6,7;0
2566;Eemslaan;Presikhaaf-West;Scheduled;13,1;1
1358;Hillegomweg 109;Elderveld Zuid;Dynamic;5;0
1787;Charles Dickensstraat 27;Rijkerswoerd Oost;Dynamic;3,8;0
1834;1e Laurenskamp thv 2;Elden;Dynamic;7,1;30
2393;Vakwerkbrug 18;Schuytgraaf-Noord;Dynamic;2,6;0
1362;Reurikwei 87;Elderhof;Dynamic;8,5;0
571;Bakenbergseweg thv 40 overzijde;Sterrenberg;Dynamic;10,1;0
734;Drieslag 4;Middelgraaflaan e,o,;Dynamic;3;0
573;Mesdaglaan 74 - 84;Hoogkamp;Dynamic;15,8;0
357;Rosendaalsestraat  234  - 248;Klarendal Zuid;Dynamic;5,2;0
1367;Rodenrijsstraat 2;Elderveld Zuid;Dynamic;7,1;0
976;Thaliastraat 201;Schuytgraaf-Centrum;Dynamic;3;0
